epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.0003333333333333333,0.5299227621634801,0.8398666666666667,0.20575623350143432,0.9381
2,0.0006666666666666666,0.16397095865408579,0.9515,0.13132069988250733,0.9597
3,0.001,0.11351370747884115,0.9665,0.11570983047485352,0.9634
4,0.001,0.07874834667444229,0.97565,0.10720949904918671,0.9689
5,0.001,0.058494517119725545,0.9817333333333333,0.10891746683120727,0.9663
6,0.001,0.04498473959167798,0.9852666666666666,0.09948713665008545,0.971
7,0.001,0.03481991667548815,0.989,0.08346515674591065,0.9753
8,0.001,0.030395165452361105,0.9901,0.09319991798400878,0.9742
9,0.001,0.026078402584791185,0.9914833333333334,0.08543369736671448,0.9769
10,0.001,0.024665519442160923,0.9913833333333333,0.10664561309814453,0.9732
